age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,housing_num,loan_num,default_num,contact_num,education_num,age_z,balance_z,campaign_z,previous_z,duration_z,Financial_Stability,Contact_Intensity,Relationship_History,Investment_Experience,Responsiveness,Investment_Readiness,Financial_Index,Engagement_Index,Investor_Profile_Index,Behavioral_Intelligence_Score
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,1,0,0,2,1,1.491504880292054,0.25252514336959164,-0.5541683439582252,-0.3632598446560345,1.9302258878699305,0.06986648408440112,0.7192282874897831,-0.3632598446560345,1.0296028439450533,1.9302258878699305,1.2822014179271728,0.06986648408440106,0.425827566206542,1.282201417927173,0.8326505066836684
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,0,0,0,2,1,1.2396756668140116,-0.459973601201242,-0.5541683439582252,-0.3632598446560345,3.154611609622702,-0.12425307404484377,0.7192282874897831,-0.3632598446560345,0.8146685184289384,3.154611609622702,1.1070728275812993,-0.12425307404484383,0.425827566206542,1.1070728275812995,0.6529183845718095
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,1,0,0,2,1,-0.01947040057620028,-0.08016030176726845,-0.5541683439582252,-0.3632598446560345,2.9299008183363107,-0.2340447307156058,0.7192282874897831,-0.3632598446560345,-0.2600031091516353,2.9299008183363107,0.23142987585193295,-0.23404473071560586,0.425827566206542,0.2314298758519329,0.20370905011617657
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,1,0,0,2,1,1.1557325956546642,0.2937620158795659,-0.5541683439582252,-0.3632598446560345,0.5963656780545588,0.10753674649670392,0.7192282874897831,-0.3632598446560345,0.7430237432569002,0.5963656780545588,1.0486966307993415,0.10753674649670386,0.425827566206542,1.0486966307993417,0.7478168183962641
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,0,0,0,2,2,1.0717895244953168,-0.4168764186532238,-0.18678537458947125,-0.3632598446560345,0.8671709906304658,-0.08488340129815136,0.9955829556200647,-0.3632598446560345,1.5248713907773366,0.8671709906304658,1.8560715848198457,-0.08488340129815142,0.6725065057452737,1.856071584819846,1.1374783079371715
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,1,1,0,2,2,0.06447267058314718,-0.47392592648657167,-0.18678537458947125,-0.3632598446560345,0.5473902491844479,-1.1646965014222033,0.9955829556200647,-0.3632598446560345,0.6651340887128774,0.5473902491844479,1.155557223436352,-1.1646965014222033,0.6725065057452737,1.1555572234363523,0.26017008919773477
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes,1,1,0,2,2,1.2396756668140116,-0.2165830378904916,-0.5541683439582252,-0.3632598446560345,2.388290193184497,-0.929611405164975,0.7192282874897831,-0.3632598446560345,1.6681609411214129,2.388290193184497,1.8024988582913666,-0.929611405164975,0.425827566206542,1.8024988582913668,0.5436479527420315
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,1,0,0,2,1,1.5754479514514015,-0.30494776469757934,-0.5541683439582252,-0.3632598446560345,1.8956549969027934,-0.4393901461210159,0.7192282874897831,-0.3632598446560345,1.1012476191170917,1.8956549969027934,1.3405776147091306,-0.43939014612101596,0.425827566206542,1.3405776147091308,0.5928787886693123
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,1,0,0,2,1,-0.35524268521359015,-0.4736158748135643,-0.5541683439582252,-0.3632598446560345,0.6799119978918067,-0.5934700164390063,0.7192282874897831,-0.3632598446560345,-0.5465822098397883,0.6799119978918067,-0.002074911275897956,-0.5934700164390063,0.425827566206542,-0.002074911275898038,-0.0884594767607518
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes,1,0,0,2,1,-1.1107303256477175,1.1042370891207143,0.1805975947792827,-0.3632598446560345,2.6648573209215933,0.8479131821791065,1.2719376237503468,-0.3632598446560345,-1.1913851863881326,2.6648573209215933,-0.1868104421287299,0.8479131821791065,0.9191854452840059,-0.18681044212873002,0.8390473903515102
